Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"School enrollment, secondary (% net)",SE.SEC.NENR,Sao Tome and Principe,STP,..,..,46.62194,..,53.83322,62.8682,65.23344,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Saudi Arabia,SAU,..,..,..,..,..,..,..,89.72179,90.55695,96.36052,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Senegal,SEN,..,..,..,..,..,..,..,..,37.66861,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Serbia,SRB,..,..,92.48608,92.86209,93.02904,92.20523,93.78182,93.11418,92.45639,92.06535,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Seychelles,SYC,..,65.33721,..,..,73.85355,74.57848,78.19143,80.64695,79.64231,80.06115,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Sierra Leone,SLE,..,..,..,..,33.40844,..,32.50901,..,38.33144,41.76675,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Singapore,SGP,..,..,..,..,..,..,..,99.53179,99.78462,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Sint Maarten (Dutch part),SXM,..,..,..,76.49279,..,69.75968,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Slovak Republic,SVK,..,..,85.48102,85.32587,84.20808,84.22573,84.75642,85.03241,84.75751,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Slovenia,SVN,..,91.37488,94.12994,94.0584,95.17996,94.78695,96.42797,95.46,95.68577,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Solomon Islands,SLB,..,18.85258,..,..,..,..,..,..,..,..,..,..
"School enrollment, secondary (% net)",SE.SEC.NENR,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
